domaine,subDomine,label,altLabels
"Politics, law and economics",Materials and products,Peat,
Science,Environmental sciences and engineering,Environmental statistics,
Social and human sciences,Social sciences,Criminology,
Education,Basic and general study subjects,Health education,Preventive education
"Politics, law and economics",Legal systems,Water law,
"Politics, law and economics",Legal systems,Rights and privileges,
Culture,Visual arts,Ceramic art,"Porcelain, Stoneware"
Information and communication,Documentary information systems,Art libraries,Museum libraries
Education,Educational systems and levels,Educational levels,
Culture,Linguistics,Mother tongue,Mother language
Education,Curriculum,Credit courses,
Information and communication,Information technology (software),Multiuser systems,Timesharing systems
Countries and country groupings,Europe,Armenian SSR,
Culture,Languages,Semitic languages,
Social and human sciences,Family,Parent participation,
Education,Teaching and training,Suggestopaedia,Sleep teaching
Social and human sciences,Social sciences,Sociologists,
Information and communication,Information sources,Art books,
Culture,Religion,Confucianism,
Education,Educational administration,Educational governing boards,
Education,Teaching and training,Discussions (teaching method),Debate (teaching method)
Education,Educational planning,Educational choice,"Choice of education, Choice of educational institution, Choice of school, Choice of university"
"Politics, law and economics",Materials and products,Animal products,
Culture,Philosophy and ethics,Deontology,"Professional ethics, Professional standards"
Science,Scientific approach,Qualitative analysis,
Culture,Languages,Tasmanian languages,
Information and communication,Communication research and policy,Interactive communication,Two-way communication
"Politics, law and economics",Finance and trade,Fiscal policy,Tax policy
Culture,Linguistics,Esperanto,
Education,Educational facilities,University laboratories,"Academic laboratories, College laboratories"
Social and human sciences,Social problems,Social alienation,Social isolation
Information and communication,Information technology (hardware),Photographic equipment,
Social and human sciences,Social systems,Institutionalization,
"Politics, law and economics",Human rights,Right to development,
Culture,Museums,Ecomuseums,
Social and human sciences,Psychology,Behaviour,Human behaviour
Culture,Languages,Georgian,
Information and communication,Information industry,Periodical press,
Culture,Visual arts,Art metalwork,
Social and human sciences,Social problems,Prostitution,Sexual exploitation
Countries and country groupings,Africa,Guinea,
Social and human sciences,Psychology,Skills,
Science,Environmental sciences and engineering,Environment,
Education,Basic and general study subjects,Media education,"Education for communication, Media literacy"
Culture,Languages,Khmer,Cambodian
Countries and country groupings,Geographic groupings,Indian Ocean Region,
Countries and country groupings,Africa,Lesotho,
"Politics, law and economics",Legal systems,Administration of justice,"Legal actions, Legal administration, Legal practice"
"Politics, law and economics",Economics,Economic systems,Economy
"Politics, law and economics",Economic and social development,Feasibility studies,
Countries and country groupings,Asia and the Pacific,Japan,
Education,Educational policy,Education and culture,
Information and communication,Information technology (software),Broadcasting technology,Broadcasting engineering
Education,Curriculum,Short courses,
Science,Environmental sciences and engineering,Environmental awareness,"Environmental consciousness, Environmental perception"
Science,Space sciences,Black holes,
Science,Geography and oceanography,Sea ice,"Floating ice, Ice packs, Icebergs"
"Politics, law and economics",International relations,Regional organizations,International regional organizations
Culture,Languages,German,
Countries and country groupings,Asia and the Pacific,India,
Education,Educational planning,Educational fees,"School fees, Tuition (USA)"
Social and human sciences,Social sciences,Ethnopsychology,Ethnocentrism
Education,Basic and general study subjects,Oral reading,
Culture,Visual arts,Engraving,
"Politics, law and economics",Legal systems,Intellectual property,Industrial property
Culture,Languages,Bosnian,
Information and communication,Information sources,Reference materials,Reference works
Science,Natural sciences,Anthropology,Physical anthropology
Science,Science and research management,Economics of science,"Economics of research, Economics of technology"
Culture,Culture,Cultural systems,Cultural types
"Politics, law and economics",Politics and government,Decolonization,
Science,Scientific approach,Methodology,
"Politics, law and economics",Materials and products,Gold,
Education,Basic and general study subjects,Basic study subjects,
Education,Educational population,Teachers,Professors
Culture,Literature,Oceanic literature,
Culture,Literature,Literary history,
Information and communication,Information industry,Information industry,
Information and communication,Information sciences,Information sciences,
Information and communication,Information sources,Information sources,
Science,Meteorology,Weather modification,"Artificial precipitation, Cloud seeding, Rain making, Weather control"
Information and communication,Information technology (hardware),Semiconductors,
Science,Meteorology,Arid zones,"Drylands, Semiarid zones"
"Politics, law and economics",Organization and management,Cooperatives,
Countries and country groupings,Americas and the Caribbean,Curaçao,
Culture,Cultural policy and planning,Cultural budgets,
Culture,Languages,Iranian languages,Iranic languages
Social and human sciences,Social sciences,Role analysis,
Science,Environmental sciences and engineering,Botanical gardens,
Information and communication,Information sciences,Microfilms,
Information and communication,Information management,Information/library profession,"Documentation profession, Information science profession, Library profession"
Countries and country groupings,Americas and the Caribbean,Trinidad and Tobago,
Culture,Languages,Kannada,
"Politics, law and economics",Agriculture,Marine aquaculture,
"Politics, law and economics","Civil, military and mining engineering",Building costs,
Education,Educational systems and levels,Lower secondary education,Intermediate education
Education,Educational systems and levels,Islamic education,
"Politics, law and economics",Legal systems,Nationality,Citizenship
"Politics, law and economics","Civil, military and mining engineering",Cartography,Mapping
Culture,Visual arts,Art glass,
"Politics, law and economics",Organization and management,Knowledge management,
Science,Chemical sciences,Molecular structure,
Education,Educational sciences and environment,School student relationship,
"Politics, law and economics",Industry,Electrical industry,
Information and communication,Communication research and policy,Advertising,Publicity
"Politics, law and economics","Civil, military and mining engineering",Engineering geology,
Culture,Cultural policy and planning,Cultural planning,Cultural plans
"Politics, law and economics",Materials and products,Radium,
Science,Environmental sciences and engineering,Resources exploration,Prospecting
Culture,Languages,Hindustani,
Social and human sciences,Population,Displaced persons,"IDP, Internally displaced persons"
Countries and country groupings,Africa,Guinea-Bissau,
Culture,Cultural policy and planning,Preservation of works of art,Conservation of works of art
Education,Educational planning,Educational output,
Information and communication,Documentary information processing,Online searching,Online information retrieval
Culture,Visual arts,Graphic arts,
Information and communication,Information sciences,Information media,
Culture,Languages,Malayo-Polynesian languages,
Education,Educational institutions,Adult education institutions,
Social and human sciences,Family,Single persons,Unmarried
Information and communication,Information management,Library exhibitions,
Science,"Pollution, disasters and safety",Epidemics,
Countries and country groupings,Americas and the Caribbean,Aruba,
Social and human sciences,Family,Parent attitudes,
"Politics, law and economics",Economic and social development,Empowerment,
Science,Meteorology,Atmospheric circulation,
Information and communication,Information sources,Newsletters,
"Politics, law and economics",Materials and products,Cereals,Grain crops
"Politics, law and economics",Equipment and facilities,Nuclear weapons,"Atomic bomb, Atomic weapons, Weapons of mass destruction"
Culture,Languages,Luba-Kasai,"Luba-Lulua, Tshiluba"
Culture,Linguistics,Uncommonly taught languages,Less widely used languages
"Politics, law and economics",Economics,Economic models,
Information and communication,Information sources,Posters,
Science,Natural sciences,Plant taxonomy,Botanical taxonomy
Information and communication,Information sciences,Comparative librarianship,
Countries and country groupings,Americas and the Caribbean,Central America,
"Politics, law and economics",Legal systems,Death penalty,Capital punishment
Culture,Cultural policy and planning,Cultural policy,
"Politics, law and economics",Materials and products,Materials,
Education,Educational systems and levels,Education of the blind,
Education,Educational institutions,Nursery schools,"Kindergarten, Preprimary schools"
Science,Scientific approach,Standardization,
Education,Educational administration,Teacher recruitment,
Education,Basic and general study subjects,Aesthetic education,
Social and human sciences,Family,Single mothers,Unmarried mothers
Education,Educational evaluation,Written examinations,
Information and communication,Documentary information systems,National archives,
Social and human sciences,Psychology,Talent,
Science,Natural resources,Petroleum resources,Oil resources
Information and communication,Information management,Library collections,Book collections
Social and human sciences,Social problems,Illiterates,
Science,"Pollution, disasters and safety",Desertification,
Culture,Performing arts,Documentary films,
Countries and country groupings,Americas and the Caribbean,Antigua and Barbuda,
Countries and country groupings,Africa,Zaire,
Information and communication,Information industry,Journalists,"Correspondents, Reporters"
"Politics, law and economics",Services,Transport,
Education,Educational facilities,Educational laboratory equipment,
Countries and country groupings,Asia and the Pacific,"Iran, Islamic Republic",
Culture,Philosophy and ethics,Philosophy,
Science,Biology,Sensory systems,Sense organs
Science,Science and research management,Scientific potential,"Scientific capability, Technological potential"
Social and human sciences,Family,Marriage,
Education,Educational population,School librarians,Teacher librarians
Social and human sciences,Psychology,Prejudice,
Information and communication,Information industry,TV/radio personnel,Radio personnel
Culture,Languages,Welsh,
Social and human sciences,Human settlements and land use,Communities,"Community environment, Local communities, Rural communities, Urban communities"
"Politics, law and economics",Politics and government,Womens liberation movement,"Feminism, Feminist movements"
Education,Teaching and training,Training methods,
"Politics, law and economics",Manufacturing and transport engineering,Metal treatment,
Education,Educational facilities,Learning packages,"Learning kits, Self instructional packages"
Education,Educational systems and levels,Recurrent education,
Countries and country groupings,Asia and the Pacific,Brunei Darussalam,
Culture,History,Historiography,
Education,Educational evaluation,Degrees,"Academic degrees, University degrees"
Science,Geography and oceanography,Bathymetry,Bathymetric surveying
Information and communication,Documentary information systems,Government archives,"Diplomatic archives, Military archives, Official archives"
Education,Educational systems and levels,Educational systems,National educational systems
"Politics, law and economics","Civil, military and mining engineering",Hydraulic structures,
"Politics, law and economics",Agriculture,Pest control,Insect control
Science,Geography and oceanography,Dynamic oceanography,Ocean dynamics
Social and human sciences,Human settlements and land use,Urban renewal,"Urban rehabilitation, Urban revitalization"
Information and communication,Information industry,Rural press,Rural newspapers
Culture,Languages,Hawaiian,
Science,Science and research management,Research centres,"Research institutes, Research units"
"Politics, law and economics",International relations,Arms sales,
Countries and country groupings,Asia and the Pacific,Kuwait,
Culture,Cultural policy and planning,Cultural values,
Culture,Languages,Irish Gaelic,Irish
Countries and country groupings,Asia and the Pacific,East Asia,Far East
Science,Chemical sciences,Hydrocarbons,
"Politics, law and economics",International relations,Nonproliferation treaties,
Education,Educational systems and levels,Public education,"Public schools, State education, State schools"
Information and communication,Information technology (software),Pattern recognition,
Education,Teaching and training,Further training,
Science,Environmental sciences and engineering,Animal rights,
Science,Environmental sciences and engineering,Environmental indicators,
Culture,Linguistics,National languages,
Social and human sciences,Social systems,Postindustrial societies,
Science,Earth sciences,Soil maps,
Social and human sciences,Social systems,Youth participation,
Countries and country groupings,Africa,Comoros,
Countries and country groupings,Asia and the Pacific,Lebanon,
Education,Educational population,Gifted students,"High achievers, Overachievers, Talented students"
Science,Earth sciences,Volcanic soils,
Education,Basic and general study subjects,Public speaking,
Information and communication,Information technology (software),File organization,Computer storage organization
"Politics, law and economics",Manufacturing and transport engineering,Waste heat recovery,
"Politics, law and economics",Legal systems,Islamic law,Moslem law
Social and human sciences,Human settlements and land use,Housing needs,Housing demand
"Politics, law and economics",Equipment and facilities,Particle accelerators,Cyclotrons
Social and human sciences,Social problems,Elderly,
Science,Physical sciences,Radiation effects,"Irradiation, Radiation damage"
"Politics, law and economics",Finance and trade,Tariffs,Tariff barriers
Social and human sciences,Social sciences,Future society,Future
Science,Medical sciences,Womens health,
Social and human sciences,Human settlements and land use,Youth leaders,
Culture,Languages,Telegu,
Education,Basic and general study subjects,Political education,
Information and communication,Communication research and policy,Information transfer,Information flow
Information and communication,Information management,Archive management,Archive administration
Education,Educational policy,International education,"International cooperation education, International understanding education, Values education"
Science,"Pollution, disasters and safety",Damage,
Social and human sciences,Family,Married men,Husbands
"Politics, law and economics",Equipment and facilities,Electric machines,
"Politics, law and economics",Industry,Power industry,
Science,Scientific approach,Metrology,"Measurement systems, Units of measurement, Weights and measures"
Social and human sciences,Social systems,Ruling class,Power elite
Social and human sciences,Population,Population research,Demographic research
"Politics, law and economics",International relations,Child soldiers,
"Politics, law and economics",Agriculture,Food statistics,
Science,"Pollution, disasters and safety",Safety,Safety engineering
Social and human sciences,Ethnic questions,Interethnic relations,Race relations
"Politics, law and economics",International relations,War,"Armed conflicts, Invasion, War aggression"
"Politics, law and economics",Organization and management,Stakeholders,Constituency
Science,Space sciences,Sun,
"Politics, law and economics",Organization and management,Management by objectives,Goal setting
Science,Earth sciences,Metamorphic rocks,
Science,Physical sciences,Acoustics,"Acoustic waves, Sound, Vibrations"
Culture,Linguistics,Foreign languages,Second languages
Science,Physical sciences,Heating,
Information and communication,Information technology (software),Reprography,"Document reproduction, Photocopying"
"Politics, law and economics",Organization and management,Size of enterprise,
Culture,Performing arts,Dance,Choreography
Countries and country groupings,Americas and the Caribbean,United States Virgin Islands,
Culture,Languages,Quechua,
Countries and country groupings,Europe,Slovakia,
Science,Biology,Heredity,
Science,Scientific approach,Calibration,
"Politics, law and economics",Economics,Economic policy,
Social and human sciences,Human settlements and land use,Mobile homes,Caravans
"Politics, law and economics",Equipment and facilities,Oceanographic equipment,Oceanographic instruments
Education,Educational administration,Teacher associations,
Science,"Pollution, disasters and safety",Safety measures,"Protective measures (safety), Security measures"
"Politics, law and economics",Human rights,Right to housing,Right to shelter
"Politics, law and economics",Manufacturing and transport engineering,Dehydration,
Education,Educational planning,Educational resources,
Social and human sciences,Human settlements and land use,Regional development,
Education,Basic and general study subjects,Writing (composition),Literary composition
Science,Mathematics and statistics,Variance analysis,
"Politics, law and economics",Equipment and facilities,Canals,
"Politics, law and economics",Economic and social development,Sustainable development,"Ecodevelopment, Environmental sustainability"
Science,Geography and oceanography,Oceanography,"Marine science, Oceanology, Ocean science"
Science,Science and research management,High technology,Advanced technology
Culture,Visual arts,Miniature paintings,
Culture,Literature,Novels,
Culture,Languages,Spanish,
Countries and country groupings,Europe,Russian Federation,
Education,Educational policy,Educational trends,
"Politics, law and economics",Finance and trade,Military expenditure,Military spending
Social and human sciences,Social problems,Hunger,"Famine, Famine aid, Starvation"
Social and human sciences,Social policy and welfare,Social workers,
Culture,Languages,Portuguese,
Social and human sciences,Social systems,Social participation,"Participation, Social life"
Social and human sciences,Psychology,Sexual behaviour,"Sex customs, Sexuality"
Science,Earth sciences,Metallic deposits,
Science,Pathology,Injuries,
Science,Geography and oceanography,Seas,
Science,Medical sciences,Drug policy,Drug legislation
Culture,Religion,Hinduism,
Science,Hydrology,Wetlands,"Bogs, Marshes, Swamps"
Culture,Religion,Religious conflicts,
Culture,Languages,Aymara,
Social and human sciences,Ethnic questions,Amerindians,"Caribs, North American Indians, South American Indians"
"Politics, law and economics",Economic and social development,Capacity building,Capacity development
Science,Geography and oceanography,Geomorphology,
Information and communication,Information technology (software),Computer languages,Programming languages
Culture,Languages,Uzbek,
"Politics, law and economics",Economics,Income,
"Politics, law and economics","Civil, military and mining engineering",Building services,
"Politics, law and economics",Agriculture,Agricultural policy,Food policy
"Politics, law and economics",Economics,Comparative advantage,
"Politics, law and economics",Equipment and facilities,Optical instruments,"Lenses, Mirrors, Telescopes"
"Politics, law and economics",Organization and management,Management audit,Management control
Science,Environmental sciences and engineering,Environmental conservation,Environmental protection
"Politics, law and economics",Manufacturing and transport engineering,Thermal engineering,Heating engineering
Education,Educational planning,Teacher employment,
Social and human sciences,Population,Adults,
Science,Natural resources,Animal migration,Bird migration
Countries and country groupings,Africa,Senegal,
Education,Curriculum,Postgraduate courses,Postgraduate education
Culture,Languages,Serbian,
Science,Physical sciences,Radiation,Ionizing radiation
Science,Geography and oceanography,Antarctic Ocean,
Social and human sciences,Population,Early childhood,"Infancy, Infants"
Education,Technical and vocational study subjects,Teacher education,Teacher training
Science,Biology,Photosynthesis,
"Politics, law and economics",Finance and trade,Consumer protection,
Social and human sciences,Social systems,Stereotypes,
Social and human sciences,Ethnic questions,Indians,
Countries and country groupings,Africa,Algeria,
Countries and country groupings,Africa,Côte d'Ivoire,Ivory Coast
Information and communication,Information technology (software),Satellite broadcasting,Direct broadcasting
"Politics, law and economics",Finance and trade,Public expenditure,Public spending
Education,Educational management,School time,
Culture,Linguistics,Linguistic unification,
Science,Natural resources,Renewable resources,
Culture,Performing arts,Pop music,
Science,Biology,Ageing,Aging
"Politics, law and economics",Equipment and facilities,Solar power stations,
"Politics, law and economics",International relations,War prisoners,
"Politics, law and economics",International relations,International cooperation,International assistance
Information and communication,Information technology (hardware),Office equipment,"Office machines, Photocopying equipment"
Culture,Religion,Witchcraft,Sorcery
Information and communication,Information sources,Textbooks,
Culture,Languages,Eskimo languages,
"Politics, law and economics",Legal systems,Constitutional history,
Science,Natural sciences,Tsetse flies,
Information and communication,Documentary information systems,Reference services,
Education,Educational evaluation,Teaching standards,
Science,Pathology,Obesity,
Education,Educational sciences and environment,Bullying,"Peer abuse, Peer harassment, School bullying"
Culture,Culture,Cultural innovations,
Culture,Culture,Subcultures,
Countries and country groupings,Americas and the Caribbean,Guyana,
Culture,Languages,Slovak,
Culture,Art,Aesthetics,Philosophy of art
Culture,Museums,Museum administration,Museum management
Social and human sciences,Social systems,Group dynamics,
Information and communication,Communication research and policy,Communication administration,"Mass media administration, Mass media management"
Science,Scientific approach,Measurement,Measuring
Social and human sciences,Social systems,Gender roles,Sex roles
"Politics, law and economics",Economic and social development,Development models,Development patterns
Culture,Languages,Icelandic,
"Politics, law and economics",Economic and social development,Financial aid,"Capital aid, Financial assistance, Financial support"
Science,Natural sciences,Animals,
Social and human sciences,Human settlements and land use,Rural economy,
Social and human sciences,Social problems,Blind,Visually impaired
Science,Natural resources,Tidal energy,Ocean wave energy
"Politics, law and economics",Politics and government,Collectivism,
Education,Educational institutions,Boarding schools,"Residential education, Residential schools"
Social and human sciences,Social problems,Crime,"Criminality, Criminals"
Culture,Linguistics,Sign languages,
Social and human sciences,Social systems,Social values,
Education,Technical and vocational study subjects,Technical teacher education,"Technical teacher training, Vocational teacher training"
Social and human sciences,Psychology,Sensorimotor activities,
Information and communication,Information technology (hardware),Telecommunications equipment,"Data communication equipment, Modems"
Science,Natural sciences,Vegetation,
Education,Educational planning,Student exchange,
Science,"Pollution, disasters and safety",Water pollution,
"Politics, law and economics",Legal systems,Law,Legal sciences
Social and human sciences,Human settlements and land use,Housing,Shelter
Education,Educational systems and levels,Upper secondary education,Sixth forms
"Politics, law and economics",Organization and management,Transnational corporations,"International business enterprises, Multinational enterprises"
Education,Educational planning,Educational statistics,
Information and communication,Information sciences,Cybernetics,
Science,Geography and oceanography,North Sea,
Education,Basic and general study subjects,Basic science education,
Social and human sciences,Social sciences,Linguists,
"Politics, law and economics","Civil, military and mining engineering",Deep sea diving,
Culture,Languages,Greek (classical),
Culture,Museums,Museum legislation,
Culture,History,Collective memory,"Collective remembrance, Cultural memory, Historical memory, Social memory"
"Politics, law and economics",Economics,Macroeconomics,
Science,Geography and oceanography,Dead Sea,
Science,Biology,Radiobiology,
Culture,Languages,Slovene,Slovenian
Information and communication,Information sciences,Newsprint,
"Politics, law and economics",Personnel management,Domestic workers,"Household workers, Housekeepers, Servants"
Education,Educational planning,Educational finance,Educational financing
Culture,Cultural policy and planning,Hunting,
Social and human sciences,Human settlements and land use,Industrial areas,
Countries and country groupings,Africa,Sudan,
Information and communication,Information technology (software),Telephone engineering,
"Politics, law and economics",Manufacturing and transport engineering,Wood technology,
Education,Educational population,Preschool teachers,
Education,Educational sciences and environment,Learning readiness,
"Politics, law and economics",International relations,Diplomacy,Preventive diplomacy
Education,Teaching and training,Computer assisted instruction,"Computer assisted learning, Computer assisted teaching, Computer managed instruction"
Countries and country groupings,Americas and the Caribbean,Mexico,
"Politics, law and economics",Economic and social development,Development programmes,
Culture,Languages,Amerindian languages,"Central American Indian languages, North American Indian languages, South American Indian languages"
Countries and country groupings,Americas and the Caribbean,Puerto Rico,
Science,Earth sciences,Soil fertility,"Land amelioration, Soil improvement"
Culture,Leisure,Swimming,
Culture,Languages,Korean,
Social and human sciences,Human settlements and land use,Rural planning,
Education,Educational institutions,Schools,
Education,Educational management,Student employment,
"Politics, law and economics",Politics and government,Riots,
Science,Physical sciences,Solar radiation,Sunlight
"Politics, law and economics",Politics and government,Revolutionary movements,
Education,Educational institutions,Evening schools,"Evening colleges, Evening courses, Night schools"
"Politics, law and economics",Agriculture,Agricultural development,
Education,Educational policy,Educational discrimination,
"Politics, law and economics",Services,Public transport,
Culture,Languages,Tai languages,Thai languages
Culture,Culture,Cultural sociology,
Culture,Languages,Mongolian,
"Politics, law and economics",Materials and products,Vegetable oils,Palm oils
Information and communication,Information sources,Newspapers,
Countries and country groupings,Africa,Burkina Faso,Upper Volta
Education,Curriculum,Core curriculum,Common core
Science,Environmental sciences and engineering,Water treatment,"Chlorination, Fluorination, Water demineralization, Water purification"
"Politics, law and economics",Legal systems,Legal history,
Information and communication,Communication research and policy,Communication policy,
"Politics, law and economics",Materials and products,Paper,
"Politics, law and economics",Personnel management,Work environment,
Countries and country groupings,Americas and the Caribbean,Saint Lucia,
Science,Science and research management,Fundamental research,"Basic research, Free research, Pure research"
Education,Educational planning,Exchange programmes,Educational exchange
Culture,Philosophy and ethics,Responsibility,"Accountability, Moral responsibility"
Culture,Philosophy and ethics,Positivism,
"Politics, law and economics",Finance and trade,Barter,
"Politics, law and economics",Finance and trade,Expenditure,
Culture,Linguistics,Psycholinguistics,Neurolinguistics
"Politics, law and economics",Organization and management,Sectoral planning,Sector-wide planning
Culture,Museums,Museography,Museum practice
"Politics, law and economics",Organization and management,Enterprises,Business
Culture,Languages,Gaelic,"Scots Gaelic, Scottish Gaelic"
"Politics, law and economics",International relations,Disarmament,
Countries and country groupings,Asia and the Pacific,Central Asia,
Information and communication,Information technology (hardware),Communication equipment,
Information and communication,Communication research and policy,Communication legislation,"Communication law, Communication regulation"
Social and human sciences,Psychology,Psychological effects,Psychological factors
Culture,Culture,Arctic cultures,
Information and communication,Information sciences,Authority lists,
Science,Hydrology,Hydrological measurement,Hydrometry
Information and communication,Information technology (hardware),Magnetic tapes,"Cassettes (computer), DAT"
Science,Medical sciences,Sensory aids,Hearing aids
Countries and country groupings,Asia and the Pacific,Australia,
Countries and country groupings,Europe,Poland,
Culture,Art,Antiquities,
Science,Earth sciences,Palaeogeology,Paleogeology
"Politics, law and economics",Economic and social development,Development theory,
Social and human sciences,Social problems,Orphans,
"Politics, law and economics",Finance and trade,Budgetary control,Budgeting
Science,Chemical sciences,Microchemistry,
Science,Geography and oceanography,Marine biology,
Education,Educational policy,Study abroad,"Cross-border education, Training abroad, Transnational education"
"Politics, law and economics",Legal systems,International courts,
"Politics, law and economics",Manufacturing and transport engineering,Transport engineering,"Automobile engineering, Railway engineering"
Information and communication,Information sciences,Economic information,
Education,Educational facilities,School furniture,
"Politics, law and economics",Politics and government,Polemology,War studies
"Politics, law and economics",Agriculture,Agricultural planning,
"Politics, law and economics",Economic and social development,Development personnel,
"Politics, law and economics",Finance and trade,Terms of trade,
Social and human sciences,Psychology,Psychological research,
Education,Teaching and training,Questioning (teaching method),Questioning techniques
Science,Mathematics and statistics,Time series,
Science,Earth sciences,Gems,Gemmology
Science,Natural sciences,Laboratory animals,
Culture,Culture,Mass culture,Popular culture
Science,Space sciences,Galaxies,Stellar systems
Education,Educational policy,Functional illiteracy,
Countries and country groupings,Asia and the Pacific,Pakistan,
Culture,Cultural policy and planning,Cultural users,"Audiences, Cultural consumers, Cultural consumption, Spectators"
"Politics, law and economics",International relations,International conflicts,International disputes
"Politics, law and economics",Personnel management,Quality of working life,Humanization of work
Culture,Performing arts,Cinema attendance,
Science,Chemical sciences,Inorganic chemistry,
Information and communication,Information industry,Booksellers,
Education,Educational sciences and environment,Curriculum research,
Information and communication,Information industry,Journalism,
Science,Natural sciences,Fauna,
Education,Educational sciences and environment,Reading research,
"Politics, law and economics",Legal systems,Landlocked countries,
Culture,Museums,Museology,Museum science
Information and communication,Documentary information systems,Institutional libraries,"Prison libraries, Ship libraries"
Science,Hydrology,Snowmelt,
Countries and country groupings,Europe,Bosnia and Herzegovina,
Culture,Linguistics,Languages,"Language types, Language varieties, Linguistic diversity"
"Politics, law and economics",Labour,Labour disputes,"Industrial disputes, Labour conflicts"
Science,Science and research management,Higher technical personnel,
"Politics, law and economics",International relations,Alliances,
"Politics, law and economics","Civil, military and mining engineering",Surveying,Aerial surveying
Culture,Performing arts,Music,Instrumental music
"Politics, law and economics",Economics,Economic statistics,
Science,Biology,Genes,"DNA, Genetic code"
"Politics, law and economics",Agriculture,Subsistence agriculture,
Information and communication,Information management,Information/library cooperation,Cooperation among libraries
Countries and country groupings,Geographic groupings,Scandinavia,Nordic countries
Education,Educational institutions,Small schools,
Education,Educational planning,Instructional programmes,
Social and human sciences,Human settlements and land use,Metropolitan areas,
"Politics, law and economics",International relations,Nonaligned countries,
Education,Teaching and training,Competency based teaching,"Competency based education, Performance based education"
Social and human sciences,Social policy and welfare,Counselling,Guidance
Countries and country groupings,Americas and the Caribbean,Bolivia,Plurinational State of Bolivia
Countries and country groupings,Linguistic groupings,Portuguese speaking countries,
Social and human sciences,Family,Family size,
Science,Biology,Microorganisms,
Science,Pathology,Schistosomiasis,
Culture,Religion,Magic,
Social and human sciences,Social problems,Disadvantaged groups,"Groups of concern, Socially disadvantaged, Underprivileged groups, Vulnerable groups"
Science,Geography and oceanography,Adriatic Sea,
Information and communication,Communication research and policy,Audience research,
Culture,Art,Sculptors,
Education,Educational population,Special education teachers,
Countries and country groupings,Africa,Togo,
Information and communication,Communication research and policy,Broadcasting legislation,
Science,Hydrology,Water level,
Science,Environmental sciences and engineering,Desalination,
Culture,Leisure,Sociology of leisure,Leisure and society
Countries and country groupings,Asia and the Pacific,Gulf States,Persian Gulf States
Culture,Museums,Travelling exhibitions,
Countries and country groupings,Africa,Mayotte,
Science,Natural resources,Biological diversity,"Biodiversity, Genetic diversity"
Culture,Culture,European cultures,Western cultures
Information and communication,Information technology (hardware),Computer peripheral equipment,Input output media
"Politics, law and economics",Economic and social development,Private aid,
Education,Educational facilities,Toys,
Science,Natural sciences,Plant transpiration,
Social and human sciences,Ethnic questions,Minority groups,Minorities
Information and communication,Information technology (software),Information technology,ICT
"Politics, law and economics",Agriculture,Land value,
Science,Earth sciences,Fossils,
Social and human sciences,Population,Population density,
"Politics, law and economics",Politics and government,Internationalism,
Science,"Pollution, disasters and safety",Radioactive wastes,Nuclear wastes
Countries and country groupings,Asia and the Pacific,Yemen,
Education,Basic and general study subjects,Information literacy,"Information competency, Information fluency"
Education,Technical and vocational study subjects,Special teacher education,Special teacher training
Culture,Leisure,Doping,
Education,Basic and general study subjects,Creative writing,
Information and communication,Communication research and policy,Reading,
Social and human sciences,Social problems,Disadvantaged youth,"Socially disadvantaged youth, Underprivileged youth"
Culture,Religion,Religious minorities,
Education,Educational evaluation,Masters degrees,
Science,Natural resources,Food resources,
Social and human sciences,Population,Exiles,
"Politics, law and economics",International relations,War victims,War wounded
Culture,Leisure,Holidays,
Countries and country groupings,Asia and the Pacific,Asia,
Culture,History,Latin American history,
Culture,Literature,Women authors,
"Politics, law and economics",Labour,Labour productivity,
Information and communication,Documentary information processing,Documentary analysis,Information analysis
"Politics, law and economics","Civil, military and mining engineering",Military operations,
Information and communication,Information industry,Radio programmes,"Radio drama, Radio games, Radio serials"
"Politics, law and economics",Politics and government,State,"National state, Sovereign state"
Information and communication,Information sciences,Archive science,
Education,Educational systems and levels,Extension education,Educational extension
Social and human sciences,Social systems,Social class,Social groups
Education,Educational population,Dropouts,"Early school leavers, School dropouts"
"Politics, law and economics",Legal systems,Bilateral agreements,
Science,Physical sciences,Physical processes,
Science,Physical sciences,Light,
Education,Curriculum,Educational courses,
Information and communication,Information technology (software),Mobile communication,
Countries and country groupings,Americas and the Caribbean,Dominica,
Social and human sciences,Population,Refugees,
Culture,Languages,Urdu,
"Politics, law and economics",Organization and management,Integrated planning,
Education,Educational institutions,Community schools,Community colleges
"Politics, law and economics",Personnel management,Working time,"Hours of work, Working time arrangement"
Culture,History,Philosophy of history,
Science,Natural resources,Biological adaptation,
Culture,Religion,Church and State,Religion and State
Countries and country groupings,Geographic groupings,Baltic States,
Education,Technical and vocational study subjects,Scientific personnel training,
Science,Natural resources,Biomes,Ecological regions
Culture,Cultural policy and planning,Democratization of culture,
Information and communication,Documentary information systems,Scientific information systems,"Engineering information systems, Technical information systems"
Countries and country groupings,Americas and the Caribbean,Saint Vincent and the Grenadines,
"Politics, law and economics",Economics,Economic resources,
"Politics, law and economics",Legal systems,Patents,
Social and human sciences,Social systems,Democratization,
Education,Educational sciences and environment,Student teacher relationship,Teacher student relationship
Science,"Pollution, disasters and safety",Fire protection,
"Politics, law and economics",Materials and products,Optical fibres,
Science,Physical sciences,Microwaves,
Information and communication,Information management,Archive records,
Science,Biology,Embryology,
"Politics, law and economics",Materials and products,Charcoal,Fuelwood
