category,label
Social and human sciences/Ethnic questions,Interethnic relations
"Politics, law and economics/International relations",War
"Politics, law and economics/Organization and management",Stakeholders
Science/Space sciences,Sun
"Politics, law and economics/Organization and management",Management by objectives
Science/Earth sciences,Metamorphic rocks
Science/Physical sciences,Acoustics
Culture/Linguistics,Foreign languages
Science/Physical sciences,Heating
Information and communication/Information technology (software),Reprography
"Politics, law and economics/Organization and management",Size of enterprise
Culture/Performing arts,Dance
Countries and country groupings/Americas and the Caribbean,United States Virgin Islands
Culture/Languages,Quechua
Countries and country groupings/Europe,Slovakia
Science/Biology,Heredity
Science/Scientific approach,Calibration
"Politics, law and economics/Economics",Economic policy
Social and human sciences/Human settlements and land use,Mobile homes
"Politics, law and economics/Equipment and facilities",Oceanographic equipment
Education/Educational administration,Teacher associations
"Science/Pollution, disasters and safety",Safety measures
"Politics, law and economics/Human rights",Right to housing
"Politics, law and economics/Manufacturing and transport engineering",Dehydration
Education/Educational planning,Educational resources
Social and human sciences/Human settlements and land use,Regional development
Education/Basic and general study subjects,Writing (composition)
Science/Mathematics and statistics,Variance analysis
"Politics, law and economics/Equipment and facilities",Canals
"Politics, law and economics/Economic and social development",Sustainable development
Science/Geography and oceanography,Oceanography
Science/Science and research management,High technology
Culture/Visual arts,Miniature paintings
Culture/Literature,Novels
Culture/Languages,Spanish
Countries and country groupings/Europe,Russian Federation
Education/Educational policy,Educational trends
"Politics, law and economics/Finance and trade",Military expenditure
Social and human sciences/Social problems,Hunger
Social and human sciences/Social policy and welfare,Social workers
Culture/Languages,Portuguese
Social and human sciences/Social systems,Social participation
Social and human sciences/Psychology,Sexual behaviour
Science/Earth sciences,Metallic deposits
Science/Pathology,Injuries
Science/Geography and oceanography,Seas
Science/Medical sciences,Drug policy
Culture/Religion,Hinduism
Science/Hydrology,Wetlands
Culture/Religion,Religious conflicts
Culture/Languages,Aymara
Social and human sciences/Ethnic questions,Amerindians
"Politics, law and economics/Economic and social development",Capacity building
Science/Geography and oceanography,Geomorphology
Information and communication/Information technology (software),Computer languages
Culture/Languages,Uzbek
"Politics, law and economics/Economics",Income
"Politics, law and economics/Civil, military and mining engineering",Building services
"Politics, law and economics/Agriculture",Agricultural policy
"Politics, law and economics/Economics",Comparative advantage
"Politics, law and economics/Equipment and facilities",Optical instruments
"Politics, law and economics/Organization and management",Management audit
Science/Environmental sciences and engineering,Environmental conservation
"Politics, law and economics/Manufacturing and transport engineering",Thermal engineering
Education/Educational planning,Teacher employment
Social and human sciences/Population,Adults
Science/Natural resources,Animal migration
Countries and country groupings/Africa,Senegal
Education/Curriculum,Postgraduate courses
Culture/Languages,Serbian
Science/Physical sciences,Radiation
Science/Geography and oceanography,Antarctic Ocean
Social and human sciences/Population,Early childhood
Education/Technical and vocational study subjects,Teacher education
Science/Biology,Photosynthesis
"Politics, law and economics/Finance and trade",Consumer protection
Social and human sciences/Social systems,Stereotypes
Social and human sciences/Ethnic questions,Indians
Countries and country groupings/Africa,Algeria
Countries and country groupings/Africa,Côte d'Ivoire
Information and communication/Information technology (software),Satellite broadcasting
"Politics, law and economics/Finance and trade",Public expenditure
Education/Educational management,School time
Culture/Linguistics,Linguistic unification
Science/Natural resources,Renewable resources
Culture/Performing arts,Pop music
Science/Biology,Ageing
"Politics, law and economics/Equipment and facilities",Solar power stations
"Politics, law and economics/International relations",War prisoners
"Politics, law and economics/International relations",International cooperation
Information and communication/Information technology (hardware),Office equipment
Culture/Religion,Witchcraft
Information and communication/Information sources,Textbooks
Culture/Languages,Eskimo languages
"Politics, law and economics/Legal systems",Constitutional history
Science/Natural sciences,Tsetse flies
Information and communication/Documentary information systems,Reference services
Education/Educational evaluation,Teaching standards
Science/Pathology,Obesity
Education/Educational sciences and environment,Bullying
Culture/Culture,Cultural innovations
Culture/Culture,Subcultures
Countries and country groupings/Americas and the Caribbean,Guyana
Culture/Languages,Slovak
Culture/Art,Aesthetics
Culture/Museums,Museum administration
Social and human sciences/Social systems,Group dynamics
Information and communication/Communication research and policy,Communication administration
Science/Scientific approach,Measurement
Social and human sciences/Social systems,Gender roles
"Politics, law and economics/Economic and social development",Development models
Culture/Languages,Icelandic
"Politics, law and economics/Economic and social development",Financial aid
Science/Natural sciences,Animals
Social and human sciences/Human settlements and land use,Rural economy
Social and human sciences/Social problems,Blind
Science/Natural resources,Tidal energy
"Politics, law and economics/Politics and government",Collectivism
Education/Educational institutions,Boarding schools
Social and human sciences/Social problems,Crime
Culture/Linguistics,Sign languages
Social and human sciences/Social systems,Social values
Education/Technical and vocational study subjects,Technical teacher education
Social and human sciences/Psychology,Sensorimotor activities
Information and communication/Information technology (hardware),Telecommunications equipment
Science/Natural sciences,Vegetation
Education/Educational planning,Student exchange
"Science/Pollution, disasters and safety",Water pollution
"Politics, law and economics/Legal systems",Law
Social and human sciences/Human settlements and land use,Housing
Education/Educational systems and levels,Upper secondary education
"Politics, law and economics/Organization and management",Transnational corporations
Education/Educational planning,Educational statistics
Information and communication/Information sciences,Cybernetics
Science/Geography and oceanography,North Sea
Education/Basic and general study subjects,Basic science education
Social and human sciences/Social sciences,Linguists
"Politics, law and economics/Civil, military and mining engineering",Deep sea diving
Culture/Languages,Greek (classical)
Culture/Museums,Museum legislation
Culture/History,Collective memory
"Politics, law and economics/Economics",Macroeconomics
Science/Geography and oceanography,Dead Sea
Science/Biology,Radiobiology
Culture/Languages,Slovene
Information and communication/Information sciences,Newsprint
"Politics, law and economics/Personnel management",Domestic workers
Education/Educational planning,Educational finance
Culture/Cultural policy and planning,Hunting
Social and human sciences/Human settlements and land use,Industrial areas
Countries and country groupings/Africa,Sudan
Information and communication/Information technology (software),Telephone engineering
"Politics, law and economics/Manufacturing and transport engineering",Wood technology
Education/Educational population,Preschool teachers
Education/Educational sciences and environment,Learning readiness
"Politics, law and economics/International relations",Diplomacy
Education/Teaching and training,Computer assisted instruction
Countries and country groupings/Americas and the Caribbean,Mexico
"Politics, law and economics/Economic and social development",Development programmes
Culture/Languages,Amerindian languages
Countries and country groupings/Americas and the Caribbean,Puerto Rico
Science/Earth sciences,Soil fertility
Culture/Leisure,Swimming
Culture/Languages,Korean
Social and human sciences/Human settlements and land use,Rural planning
Education/Educational institutions,Schools
Education/Educational management,Student employment
"Politics, law and economics/Politics and government",Riots
Science/Physical sciences,Solar radiation
"Politics, law and economics/Politics and government",Revolutionary movements
Education/Educational institutions,Evening schools
"Politics, law and economics/Agriculture",Agricultural development
Education/Educational policy,Educational discrimination
"Politics, law and economics/Services",Public transport
Culture/Languages,Tai languages
Culture/Culture,Cultural sociology
Culture/Languages,Mongolian
"Politics, law and economics/Materials and products",Vegetable oils
Information and communication/Information sources,Newspapers
Countries and country groupings/Africa,Burkina Faso
Education/Curriculum,Core curriculum
Science/Environmental sciences and engineering,Water treatment
"Politics, law and economics/Legal systems",Legal history
Information and communication/Communication research and policy,Communication policy
"Politics, law and economics/Materials and products",Paper
"Politics, law and economics/Personnel management",Work environment
Countries and country groupings/Americas and the Caribbean,Saint Lucia
Science/Science and research management,Fundamental research
Education/Educational planning,Exchange programmes
Culture/Philosophy and ethics,Responsibility
Culture/Philosophy and ethics,Positivism
"Politics, law and economics/Finance and trade",Barter
"Politics, law and economics/Finance and trade",Expenditure
Culture/Linguistics,Psycholinguistics
"Politics, law and economics/Organization and management",Sectoral planning
Culture/Museums,Museography
"Politics, law and economics/Organization and management",Enterprises
Culture/Languages,Gaelic
"Politics, law and economics/International relations",Disarmament
Countries and country groupings/Asia and the Pacific,Central Asia
Information and communication/Information technology (hardware),Communication equipment
Information and communication/Communication research and policy,Communication legislation
Social and human sciences/Psychology,Psychological effects
Culture/Culture,Arctic cultures
Information and communication/Information sciences,Authority lists
Science/Hydrology,Hydrological measurement
Information and communication/Information technology (hardware),Magnetic tapes
Science/Medical sciences,Sensory aids
Countries and country groupings/Asia and the Pacific,Australia
Countries and country groupings/Europe,Poland
Culture/Art,Antiquities
Science/Earth sciences,Palaeogeology
"Politics, law and economics/Economic and social development",Development theory
Social and human sciences/Social problems,Orphans
"Politics, law and economics/Finance and trade",Budgetary control
Science/Chemical sciences,Microchemistry
Science/Geography and oceanography,Marine biology
Education/Educational policy,Study abroad
"Politics, law and economics/Legal systems",International courts
"Politics, law and economics/Manufacturing and transport engineering",Transport engineering
Information and communication/Information sciences,Economic information
Education/Educational facilities,School furniture
"Politics, law and economics/Politics and government",Polemology
"Politics, law and economics/Agriculture",Agricultural planning
"Politics, law and economics/Economic and social development",Development personnel
"Politics, law and economics/Finance and trade",Terms of trade
Social and human sciences/Psychology,Psychological research
Education/Teaching and training,Questioning (teaching method)
Science/Mathematics and statistics,Time series
Science/Earth sciences,Gems
Science/Natural sciences,Laboratory animals
Culture/Culture,Mass culture
Science/Space sciences,Galaxies
Education/Educational policy,Functional illiteracy
Countries and country groupings/Asia and the Pacific,Pakistan
Culture/Cultural policy and planning,Cultural users
"Politics, law and economics/International relations",International conflicts
"Politics, law and economics/Personnel management",Quality of working life
Culture/Performing arts,Cinema attendance
Science/Chemical sciences,Inorganic chemistry
Information and communication/Information industry,Booksellers
Education/Educational sciences and environment,Curriculum research
Information and communication/Information industry,Journalism
Science/Natural sciences,Fauna
Education/Educational sciences and environment,Reading research
"Politics, law and economics/Legal systems",Landlocked countries
Culture/Museums,Museology
Information and communication/Documentary information systems,Institutional libraries
Science/Hydrology,Snowmelt
Countries and country groupings/Europe,Bosnia and Herzegovina
Culture/Linguistics,Languages
"Politics, law and economics/Labour",Labour disputes
Science/Science and research management,Higher technical personnel
"Politics, law and economics/International relations",Alliances
"Politics, law and economics/Civil, military and mining engineering",Surveying
Culture/Performing arts,Music
"Politics, law and economics/Economics",Economic statistics
Science/Biology,Genes
"Politics, law and economics/Agriculture",Subsistence agriculture
Information and communication/Information management,Information/library cooperation
Countries and country groupings/Geographic groupings,Scandinavia
Education/Educational institutions,Small schools
Education/Educational planning,Instructional programmes
Social and human sciences/Human settlements and land use,Metropolitan areas
"Politics, law and economics/International relations",Nonaligned countries
Education/Teaching and training,Competency based teaching
Social and human sciences/Social policy and welfare,Counselling
Countries and country groupings/Americas and the Caribbean,Bolivia
Countries and country groupings/Linguistic groupings,Portuguese speaking countries
Social and human sciences/Family,Family size
Science/Biology,Microorganisms
Science/Pathology,Schistosomiasis
Culture/Religion,Magic
Social and human sciences/Social problems,Disadvantaged groups
Science/Geography and oceanography,Adriatic Sea
Information and communication/Communication research and policy,Audience research
Culture/Art,Sculptors
Education/Educational population,Special education teachers
Countries and country groupings/Africa,Togo
Information and communication/Communication research and policy,Broadcasting legislation
Science/Hydrology,Water level
Science/Environmental sciences and engineering,Desalination
Culture/Leisure,Sociology of leisure
Countries and country groupings/Asia and the Pacific,Gulf States
Culture/Museums,Travelling exhibitions
Countries and country groupings/Africa,Mayotte
Science/Natural resources,Biological diversity
Culture/Culture,European cultures
Information and communication/Information technology (hardware),Computer peripheral equipment
"Politics, law and economics/Economic and social development",Private aid
Education/Educational facilities,Toys
Science/Natural sciences,Plant transpiration
Social and human sciences/Ethnic questions,Minority groups
Information and communication/Information technology (software),Information technology
"Politics, law and economics/Agriculture",Land value
Science/Earth sciences,Fossils
Social and human sciences/Population,Population density
"Politics, law and economics/Politics and government",Internationalism
"Science/Pollution, disasters and safety",Radioactive wastes
Countries and country groupings/Asia and the Pacific,Yemen
Education/Basic and general study subjects,Information literacy
Education/Technical and vocational study subjects,Special teacher education
Culture/Leisure,Doping
Education/Basic and general study subjects,Creative writing
Information and communication/Communication research and policy,Reading
Social and human sciences/Social problems,Disadvantaged youth
Culture/Religion,Religious minorities
Education/Educational evaluation,Masters degrees
Science/Natural resources,Food resources
Social and human sciences/Population,Exiles
"Politics, law and economics/International relations",War victims
Culture/Leisure,Holidays
Countries and country groupings/Asia and the Pacific,Asia
Culture/History,Latin American history
Culture/Literature,Women authors
"Politics, law and economics/Labour",Labour productivity
Information and communication/Documentary information processing,Documentary analysis
"Politics, law and economics/Civil, military and mining engineering",Military operations
Information and communication/Information industry,Radio programmes
"Politics, law and economics/Politics and government",State
Information and communication/Information sciences,Archive science
Education/Educational systems and levels,Extension education
Social and human sciences/Social systems,Social class
Education/Educational population,Dropouts
"Politics, law and economics/Legal systems",Bilateral agreements
Science/Physical sciences,Physical processes
Science/Physical sciences,Light
Education/Curriculum,Educational courses
Information and communication/Information technology (software),Mobile communication
Countries and country groupings/Americas and the Caribbean,Dominica
Social and human sciences/Population,Refugees
Culture/Languages,Urdu
"Politics, law and economics/Organization and management",Integrated planning
Education/Educational institutions,Community schools
"Politics, law and economics/Personnel management",Working time
Culture/History,Philosophy of history
Science/Natural resources,Biological adaptation
Culture/Religion,Church and State
Countries and country groupings/Geographic groupings,Baltic States
Education/Technical and vocational study subjects,Scientific personnel training
Science/Natural resources,Biomes
Culture/Cultural policy and planning,Democratization of culture
Information and communication/Documentary information systems,Scientific information systems
Countries and country groupings/Americas and the Caribbean,Saint Vincent and the Grenadines
"Politics, law and economics/Economics",Economic resources
"Politics, law and economics/Legal systems",Patents
Social and human sciences/Social systems,Democratization
Education/Educational sciences and environment,Student teacher relationship
"Science/Pollution, disasters and safety",Fire protection
"Politics, law and economics/Materials and products",Optical fibres
Science/Physical sciences,Microwaves
Information and communication/Information management,Archive records
Science/Biology,Embryology
"Politics, law and economics/Materials and products",Charcoal
Culture/History,North American history
Culture/Leisure,Olympic Games
Social and human sciences/Psychology,Personality development
"Politics, law and economics/Politics and government",Feudalism
Science/Geography and oceanography,Chemical oceanography
"Politics, law and economics/International relations",International security
Education/Educational administration,School supervision
Science/Biology,Biophysics
Education/Educational sciences and environment,School rewards
Culture/Culture,Culture of poverty
Social and human sciences/Population,Birth rate
Science/Hydrology,Ecohydrology
Science/Hydrology,Saline water
Culture/History,Egyptology
Science/Natural sciences,Plant genetics
Information and communication/Documentary information systems,National libraries
Countries and country groupings/Africa,Ghana
"Politics, law and economics/Politics and government",Conscientious objection
Science/Physical sciences,Heat transfer
Education/Educational systems and levels,Mobile educational services
Science/Science and research management,Research and development
Science/Scientific approach,Quality control
Education/Educational facilities,Educational television
"Politics, law and economics/Organization and management",Optimization
Information and communication/Information technology (hardware),Computers
Information and communication/Information industry,News agencies
Education/Basic and general study subjects,Literacy
"Politics, law and economics/Legal systems",Lawyers
"Politics, law and economics/Agriculture",Fisheries
"Politics, law and economics/Materials and products",Poultry
Culture/Linguistics,Language barriers
"Politics, law and economics/Legal systems",Law reform
Education/Educational facilities,Academic buildings
Science/Scientific approach,Cause and effect
Culture/Linguistics,International auxiliary lingua
Culture/Art,Film makers
Science/Space sciences,Cosmic matter
Education/Basic and general study subjects,Mathematics education
Education/Technical and vocational study subjects,Archive education
Education/Technical and vocational study subjects,Marine education
Science/Mathematics and statistics,Statistical analysis
Science/Mathematics and statistics,Functional analysis
"Politics, law and economics/Services",Civil aviation
Information and communication/Information technology (software),Data collection
"Politics, law and economics/Agriculture",Agricultural economics
"Politics, law and economics/International relations",Foreign aid
"Politics, law and economics/Personnel management",Manual workers
Information and communication/Information management,Information/library management
"Politics, law and economics/Politics and government",Anarchism
"Science/Pollution, disasters and safety",Industrial pollution
Culture/Leisure,Sport
Social and human sciences/Social systems,Elite
Culture/Visual arts,Drawing
Social and human sciences/Social problems,Malnutrition
Culture/Religion,Cults
Education/Teaching and training,Study tours
Science/Chemical sciences,Ozone
Culture/Performing arts,Ballet
Countries and country groupings/Europe,Slovenia
"Politics, law and economics/Human rights",Womens status
Science/Physical sciences,Thermodynamics
"Politics, law and economics/Organization and management",Private organizations
Culture/Literature,Biographies
Science/Pathology,Psychopathology
Countries and country groupings/Asia and the Pacific,Hawaii
Culture/Cultural policy and planning,Industrial heritage
Information and communication/Information technology (hardware),Computer interfaces
Culture/Philosophy and ethics,Structure of knowledge
Information and communication/Information technology (hardware),Antennas
Countries and country groupings/Africa,Eswatini
"Politics, law and economics/Economics",Market economy
Science/Earth sciences,Palaeoclimatology
Culture/Leisure,Sports competitions
"Politics, law and economics/Organization and management",Organizations
Information and communication/Documentary information processing,Records appraisal
Education/Technical and vocational study subjects,Higher science education
Countries and country groupings/Ethnic and religious groupings,Arab States
"Politics, law and economics/Civil, military and mining engineering",Coal mining
"Politics, law and economics/Manufacturing and transport engineering",Aerospace engineering
Science/Scientific approach,Interviews
Information and communication/Information industry,Librarians
Education/Educational institutions,Universities
Science/Geography and oceanography,Intertidal areas
"Science/Pollution, disasters and safety",Noise pollution
Information and communication/Information industry,Archivists
Science/Mathematics and statistics,Probability theory
Information and communication/Communication research and policy,Reading habit
Culture/Linguistics,Ethnolinguistics
Education/Educational evaluation,Theses
Culture/Culture,Scientific culture
Countries and country groupings/Europe,Albania
Countries and country groupings/Europe,Armenia
Science/Biology,Physiological development
Science/Medical sciences,Pharmacology
"Politics, law and economics/Industry",Construction industry
Education/Educational facilities,School workshops
Culture/Art,Musicians
Social and human sciences/Social systems,UNESCO awards and honours
Science/Environmental sciences and engineering,Environmental quality
Science/Science and research management,Technological forecasting
Culture/Literature,Representative literary works
Social and human sciences/Social systems,Interest groups
Education/Educational management,Ability grouping
Science/Medical sciences,Physicians
"Politics, law and economics/Manufacturing and transport engineering",Metalworking
Education/Educational administration,Accreditation (education)
"Politics, law and economics/Personnel management",Women workers
Science/Science and research management,Automation
Culture/Culture,Asian cultures
Countries and country groupings/Europe,Lithuania
Science/Meteorology,Hydrometeorology
Science/Mathematics and statistics,Extrapolation
Science/Natural sciences,Fish
Countries and country groupings/Africa,West Africa
Countries and country groupings/Asia and the Pacific,Syrian Arab Republic
Culture/Cultural policy and planning,Cultural property restitution
Culture/Literature,Humour (literary)
Science/Chemical sciences,Radioisotopes
Science/Earth sciences,Terrestrial heat
Culture/Religion,Catholicism
Science/Natural resources,Biomass
Culture/Culture,Cultural factors
"Politics, law and economics/Equipment and facilities",Solar cells
Culture/Culture,Cultural environment
Social and human sciences/Social systems,Competition
Science/Medical sciences,Systems of medicine
Science/Environmental sciences and engineering,Wildlife conservation
"Politics, law and economics/Finance and trade",Market research
"Politics, law and economics/Civil, military and mining engineering",Building maintenance
Countries and country groupings/Geographic groupings,Sahel
"Politics, law and economics/Legal systems",Rule of law
"Politics, law and economics/Economic and social development",Development projects
Science/Natural resources,Renewable energy sources
Information and communication/Documentary information systems,Clearing houses
"Politics, law and economics/Economics",Consumption
Culture/Culture,Islamic culture
"Science/Pollution, disasters and safety",Avalanches
Science/Earth sciences,Desert soils
"Politics, law and economics/Personnel management",Office workers
Social and human sciences/Social problems,Violence
"Politics, law and economics/Equipment and facilities",Water turbines
"Politics, law and economics/Organization and management",Administrative structure
Information and communication/Information sciences,History of libraries
Culture/Cultural policy and planning,Restoration
Culture/Philosophy and ethics,Moral values
Education/Educational population,Schoolchildren
Information and communication/Information technology (software),Computational linguistics
Science/Hydrology,Watersheds
Culture/Art,Art theory
Education/Educational population,Primary school students
Science/Hydrology,Rivers
Culture/Art,Art history
Information and communication/Documentary information processing,Library circulation
Education/Educational administration,Teacher conditions of employment
Science/Science and research management,Hydrologists
Culture/Religion,Religious groups
Culture/Literature,Proverbs
Education/Educational population,Low achievers
Science/Environmental sciences and engineering,Biological control
Science/Geography and oceanography,Ocean waves
Education/Basic and general study subjects,Chemistry education
Science/Hydrology,Hydrological networks
Social and human sciences/Population,Boys
"Politics, law and economics/Labour",Structural unemployment
Education/Educational administration,Educational coordination
"Politics, law and economics/Economics",Customs unions
Culture/Leisure,Youth hostels
"Politics, law and economics/Equipment and facilities",Communication satellites
Information and communication/Information industry,Communication personnel
Education/Educational administration,Teacher trade unions
"Politics, law and economics/Legal systems",Law enforcement
Information and communication/Information technology (software),Television engineering
"Politics, law and economics/Civil, military and mining engineering",Underwater technology
Education/Teaching and training,Activity learning
Education/Educational evaluation,Doctoral degrees
Social and human sciences/Human settlements and land use,Rural development
Science/Geography and oceanography,Tides
"Politics, law and economics/Politics and government",Conflict research
"Politics, law and economics/Economic and social development",Participatory development
Education/Educational policy,State and education
Science/Environmental sciences and engineering,Waste treatment
"Politics, law and economics/Politics and government",Politics
Culture/Philosophy and ethics,Moral concepts
"Politics, law and economics/Politics and government",Fascism
Science/Mathematics and statistics,Statistical mathematics
Social and human sciences/Ethnic questions,Indigenous peoples
Countries and country groupings/Political groupings,Non-self governing territories
Social and human sciences/Social sciences,Philosophers
Science/Pathology,Deafness
Countries and country groupings/Asia and the Pacific,Palestine
Science/Earth sciences,Seismology
Science/Science and research management,Science and development
Countries and country groupings/Europe,Iceland
Social and human sciences/Human settlements and land use,Urban sociology
Education/Educational policy,Compulsory education
"Politics, law and economics/Equipment and facilities",Diving equipment
Science/Pathology,Immunology
Science/Science and research management,Pilot projects
Education/Educational population,Foreign students
Information and communication/Communication research and policy,Handwriting
Culture/Museums,Art galleries
"Politics, law and economics/Industry",Shipbuilding industry
"Politics, law and economics/Manufacturing and transport engineering",Drying
Science/Physical sciences,Fluid dynamics
"Politics, law and economics/Politics and government",Technocracy
Social and human sciences/Population,Population projections
"Politics, law and economics/Politics and government",Dictatorship
Culture/Philosophy and ethics,Ideologies
"Politics, law and economics/Economic and social development",Reconstruction
Education/Educational administration,Educational decentralization
Culture/Linguistics,Language behaviour
Science/Natural resources,Soil resources
Science/Scientific approach,Forecasting
Science/Earth sciences,Precambrian
"Politics, law and economics/Civil, military and mining engineering",River control
Education/Educational policy,Leisure and education
Information and communication/Information management,Information/library policy
Science/Scientific approach,Research work
"Politics, law and economics/Civil, military and mining engineering",Chemical/biological warfare
Education/Educational sciences and environment,Peer relationship
Information and communication/Documentary information systems,Business libraries
Social and human sciences/Human settlements and land use,Community development
Information and communication/Information industry,Press
Education/Basic and general study subjects,Geography education
"Politics, law and economics/Industry",Industrial statistics
"Politics, law and economics/Personnel management",Wage policy
Education/Educational sciences and environment,Educational anthropology
Education/Educational evaluation,Examination standards
Culture/Languages,Turkmen
Education/Teaching and training,Independent study
Education/Educational institutions,Vocational schools
Culture/History,Archaeological objects
Culture/History,Prehistory
Education/Educational sciences and environment,Student attitudes
Culture/Languages,English
Science/Mathematics and statistics,Algorithms
"Politics, law and economics/Economics",Economic reform
Education/Educational sciences and environment,Learning processes
Science/Natural resources,Nonrenewable energy sources
Culture/Religion,Missionary work
Education/Educational evaluation,Educational background
Science/Chemical sciences,Isotopes
Science/Hydrology,Water balance
Education/Teaching and training,Educational games
Culture/Languages,Breton
"Politics, law and economics/Personnel management",Employers
Culture/Cultural policy and planning,Customs and traditions
Science/Hydrology,Lagoons
Countries and country groupings/Europe,Ireland
Science/Medical sciences,Disease control
Information and communication/Documentary information systems,Archive equipment
Science/Medical sciences,Paramedical personnel
Social and human sciences/Population,Migration law
Science/Natural sciences,Mammals
Countries and country groupings/Europe,German DR
Education/Educational policy,Curriculum development
Education/Basic and general study subjects,General technical education
Social and human sciences/Population,Immigration
Science/Physical sciences,Water currents
Culture/Literature,Literary style
Information and communication/Information sciences,Thesaurus compilation
Culture/Philosophy and ethics,Philosophy of action
Science/Environmental sciences and engineering,Zoological gardens
Science/Biology,Eugenics
Science/Mathematics and statistics,Factor analysis
"Politics, law and economics/Agriculture",Forest management
"Politics, law and economics/Finance and trade",Trade routes
Education/Educational sciences and environment,Adult learning
Information and communication/Information management,Archive planning
Culture/Religion,Religions
Information and communication/Information sciences,Library science
Information and communication/Information industry,Record industry
"Politics, law and economics/Labour",Youth unemployment
Social and human sciences/Psychology,Tolerance
"Science/Pollution, disasters and safety",Human activities effects
Countries and country groupings/Americas and the Caribbean,Bermuda
Culture/Languages,Sango
Information and communication/Documentary information systems,Rural libraries
Science/Environmental sciences and engineering,Nature reserves
Science/Biology,Trace elements
"Politics, law and economics/Finance and trade",Capital flow
Science/Chemical sciences,Sulphur
Information and communication/Information management,Information/library budgets
Education/Curriculum,Primary school curriculum
"Politics, law and economics/Politics and government",Government departments
Social and human sciences/Family,Clans
Education/Educational systems and levels,Coeducation
Science/Chemical sciences,Organic chemistry
Science/Science and research management,Science administration
Information and communication/Information sciences,Information
"Politics, law and economics/Politics and government",Political philosophy
Social and human sciences/Population,Internal migration
Information and communication/Documentary information systems,Information systems
"Politics, law and economics/Politics and government",Newly independent states
Countries and country groupings/Americas and the Caribbean,Cuba
Science/Geography and oceanography,Sea water
Countries and country groupings/Europe,Belarus
Social and human sciences/Population,Population dynamics
Science/Geography and oceanography,Biogeography
"Politics, law and economics/Organization and management",Policy making
Education/Educational management,Fellowships
Education/Teaching and training,Workshops (teaching method)
Social and human sciences/Human settlements and land use,Suburbs
"Politics, law and economics/Services",Travel
Science/Biology,Cell biology
"Politics, law and economics/Legal systems",Justice
"Politics, law and economics/Industry",Small scale industry
Culture/Philosophy and ethics,Freemasonry
"Politics, law and economics/Economics",Marginalism
Science/Geography and oceanography,Ocean currents
"Politics, law and economics/Manufacturing and transport engineering",Refrigeration engineering
"Politics, law and economics/Equipment and facilities",Electric power stations
Countries and country groupings/Europe,Kazakh SSR
Science/Environmental sciences and engineering,Pollution control
Education/Educational evaluation,Educational qualifications
Culture/Performing arts,Contemporary music
Information and communication/Information management,Information/library finance
Education/Educational administration,Teaching abroad
Education/Educational evaluation,Intelligence tests
Education/Educational policy,Educational indicators
"Politics, law and economics/Economics",Prices
Social and human sciences/Human settlements and land use,Urbanization
Science/Pathology,Mental deficiency
Information and communication/Information technology (hardware),Telex
Science/Geography and oceanography,Jungles
"Politics, law and economics/Human rights",Right to live in peace
"Politics, law and economics/Agriculture",Food processing
Countries and country groupings/Americas and the Caribbean,Anguilla
Social and human sciences/Social policy and welfare,Pensions
Social and human sciences/Social problems,Child abuse
Education/Educational systems and levels,Refugee education
"Politics, law and economics/Manufacturing and transport engineering",Paint technology
Education/Educational facilities,Educational toys
"Politics, law and economics/Materials and products",Cement
Culture/Cultural policy and planning,Cultural finance
Information and communication/Information industry,Typesetting
"Politics, law and economics/Economics",Private ownership
Countries and country groupings/Geographic groupings,Amazonia
Education/Educational sciences and environment,Learning
Culture/Performing arts,Opera
"Politics, law and economics/Materials and products",Building stones
"Science/Pollution, disasters and safety",Fires
Education/Educational evaluation,Educational evaluation
Education/Curriculum,Curriculum
Education/Educational facilities,Educational workshops
Education/Educational administration,Educational administration
Education/Educational facilities,Educational facilities
Education/Educational institutions,Educational institutions
Science/Pathology,Mental diseases
Education/Educational policy,Educational policy
Education/Educational management,Educational management
Education/Educational planning,Educational planning
Science/Mathematics and statistics,Mathematical analysis
Social and human sciences/Psychology,Psychological schools
Information and communication/Information industry,Book industry
"Politics, law and economics/Politics and government",Socialism
Culture/Languages,Uralic languages
Education/Educational population,Academic teaching personnel
Culture/Performing arts,Television films
Information and communication/Documentary information systems,Regional libraries
"Politics, law and economics/Manufacturing and transport engineering",Materials testing
Education/Educational policy,Computer uses in education
Information and communication/Information industry,Library technicians
"Science/Pollution, disasters and safety",Air pollution
Science/Physical sciences,Radio waves
Science/Natural sciences,Marine fish
"Politics, law and economics/Equipment and facilities",Oceanographic buoys
Information and communication/Documentary information processing,Records management
Information and communication/Information industry,Binding
Science/Mathematics and statistics,Statistics presentation
Culture/Museums,Cultural exhibitions
Education/Basic and general study subjects,Moral education
Science/Hydrology,Water discharge
Science/Pathology,Neuroses
Culture/Languages,Hungarian
Education/Curriculum,Vocational school curriculum
Information and communication/Documentary information systems,Depository libraries
Culture/Linguistics,Terminology
"Politics, law and economics/Organization and management",Project design
"Politics, law and economics/Human rights",Humanitarian law
Education/Educational systems and levels,Mass education
Science/Biology,Birth
Education/Teaching and training,Apprenticeship
Culture/Linguistics,Sociolinguistics
Education/Educational management,Vocational guidance
Culture/Languages,Basque
Science/Pathology,Maladjustment
Culture/Linguistics,Symbols
Culture/Leisure,Festivals
Social and human sciences/Social problems,Abandoned children
Culture/Visual arts,Buildings
Culture/Cultural policy and planning,Folklore
